t,o
2016-02-26,"{'c': 5.899538361446801, 'h': 6.235820834464546, 'l': 5.701371023473188, 'o': 6.046504297229806}"
2016-02-27,"{'c': 6.425304390895775, 'h': 6.512400261315766, 'l': 5.941471383652935, 'o': 5.941471383652935}"
2016-02-28,"{'c': 6.430797893643479, 'h': 6.638129714767749, 'l': 6.208332231213272, 'o': 6.391747008964719}"
2016-02-29,"{'c': 6.312315400827469, 'h': 6.63112453178266, 'l': 6.04335587724267, 'o': 6.451990214072813}"
2016-03-01,"{'c': 7.626141923994518, 'h': 7.790527763658036, 'l': 6.267452857770322, 'o': 6.307932087101477}"
2016-03-02,"{'c': 8.389200852135929, 'h': 8.736881982129532, 'l': 7.358439000725432, 'o': 7.600685661922151}"
2016-03-03,"{'c': 9.269071210091795, 'h': 10.053962462617207, 'l': 8.253243945440644, 'o': 8.4019917653937}"
2016-03-04,"{'c': 10.335836092949757, 'h': 10.446946450100896, 'l': 8.394394687699332, 'o': 9.13325280871631}"
2016-03-05,"{'c': 10.881702685077158, 'h': 12.28993616489233, 'l': 9.881760989659643, 'o': 10.358456474091083}"
2016-03-06,"{'c': 11.284118168860626, 'h': 11.842688113843606, 'l': 9.907488090304515, 'o': 11.22121390848596}"
2016-03-07,"{'c': 9.564482173251605, 'h': 11.573346653085864, 'l': 9.30950245407278, 'o': 11.345106000032443}"
2016-03-08,"{'c': 9.744074055949437, 'h': 10.127322411199124, 'l': 8.817954957467778, 'o': 9.542759672729508}"
2016-03-09,"{'c': 11.197000000000001, 'h': 11.197000000000001, 'l': 9.59216055916763, 'o': 9.697277462010645}"
2016-03-10,"{'c': 11.75, 'h': 11.75, 'l': 11.298000000000002, 'o': 11.298000000000002}"
2016-03-11,"{'c': 11.95, 'h': 11.95, 'l': 11.8, 'o': 11.85}"
2016-03-12,"{'c': 12.918, 'h': 13.4, 'l': 11.95, 'o': 11.95}"
2016-03-13,"{'c': 14.469333333333333, 'h': 15.074000000000002, 'l': 13.45, 'o': 13.45}"
2016-03-14,"{'c': 12.31675, 'h': 14.871071428571426, 'l': 11.4, 'o': 14.530999999999999}"
2016-03-15,"{'c': 13.1, 'h': 13.15, 'l': 12.068047619047626, 'o': 12.685052631578946}"
